  Mon May 29 18:00:05 2017 for program Focmec
 Event 8703270729 1 UW error max, no emergent arrivals
 Input from a file 8703270729.inp
 Chapman et al. 1997 Event 12: 8703270729305.  Emergent coded
 Not including emergent polarity picks
 Polarities/Errors:  P 022/01  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   83.72  274.35   24.25       1.00  0.00  0.00
   85.79  278.92   24.67       1.00  0.00  0.00
   77.80  272.38   21.99       1.00  0.00  0.00
   79.71  277.09   22.91       1.00  0.00  0.00
   74.24  274.75   19.66       1.00  0.00  0.00
   71.11  276.79   16.69       1.00  0.00  0.00
   67.48  273.23   11.15       1.00  0.00  0.00
   65.91  274.47    6.88       1.00  0.00  0.00
   70.71   95.68   -5.38       1.00  0.00  0.00
   78.69   98.14  -16.60       1.00  0.00  0.00
   84.92   93.33  -19.37       1.00  0.00  0.00
   83.28   98.08  -18.88       1.00  0.00  0.00
   90.00  273.60   20.00       1.00  0.00  0.00
   88.29   98.30  -19.93       1.00  0.00  0.00
   84.92  273.87   19.37       1.00  0.00  0.00
   86.60  278.59   19.72       1.00  0.00  0.00
   80.15  273.92   17.50       1.00  0.00  0.00
   81.69  278.74   18.26       1.00  0.00  0.00
   76.00  273.58   14.43       1.00  0.00  0.00
   77.30  278.54   15.58       1.00  0.00  0.00
   72.77  272.77   10.31       1.00  0.00  0.00
   73.73  277.89   11.79       1.00  0.00  0.00
   71.25  276.77    7.10       1.00  0.00  0.00
   75.92   97.77   -5.24       1.00  0.00  0.00
   78.56   96.39   -9.77       1.00  0.00  0.00
   82.56   95.46  -13.06       1.00  0.00  0.00
   87.42   94.93  -14.78       1.00  0.00  0.00
   86.16   99.77  -14.51       1.00  0.00  0.00
   87.42  274.54   14.78       1.00  0.00  0.00
   88.71  279.38   14.95       1.00  0.00  0.00
   82.56  274.01   13.06       1.00  0.00  0.00
   83.72  278.91   13.65       1.00  0.00  0.00
   78.56  273.09    9.77       1.00  0.00  0.00
   79.45  278.10   10.73       1.00  0.00  0.00
   76.43  276.82    6.46       1.00  0.00  0.00
   80.15  280.15    1.75       1.00  0.00  0.00
   80.04   98.77   -0.88       1.00  0.00  0.00
   81.82   96.13   -5.78       1.00  0.00  0.00
   85.79   93.90   -9.08       1.00  0.00  0.00
   85.02   98.85   -8.68       1.00  0.00  0.00
   89.13  272.00    9.96       1.00  0.00  0.00
   90.00  276.92   10.00       1.00  0.00  0.00
   85.02  274.99    8.68       1.00  0.00  0.00
   85.79  279.95    9.08       1.00  0.00  0.00
   81.35  272.69    5.04       1.00  0.00  0.00
   81.82  277.72    5.78       1.00  0.00  0.00
   85.08  280.04    0.87       1.00  0.00  0.00
   87.13   94.90   -4.10       1.00  0.00  0.00
   86.79   99.89   -3.83       1.00  0.00  0.00
   87.89  275.08    4.53       1.00  0.00  0.00
   88.29  280.07    4.70       1.00  0.00  0.00
   90.00  280.00   -0.00       1.00  0.00  0.00
