  Mon May 29 20:25:46 2017 for program Focmec
 Event 8703270729 2.0 RW polarity errors
 Input from a file 8703270729.inp
 Chapman et al. 1997 Event 12: 8703270729305.  Emergent coded
 Including emergent polarity picks
 Polarities/Errors:  P 037/ 2.0  SV 000/ 0.0  SH 000/ 0.0
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   78.56   78.50  -49.02       1.96  0.00  0.00
   86.17   78.49  -49.89       1.92  0.00  0.00
   82.36   81.74  -49.57       1.85  0.00  0.00
   78.56   85.05  -49.02       1.97  0.00  0.00
   86.17  258.60   49.89       1.97  0.00  0.00
   90.00  261.82   50.00       1.85  0.00  0.00
   86.17   85.04  -49.89       1.82  0.00  0.00
   82.36   88.28  -49.57       1.95  0.00  0.00
   82.36  261.90   49.57       1.89  0.00  0.00
   86.17  265.14   49.89       1.78  0.00  0.00
   90.00  268.36   50.00       1.80  0.00  0.00
   86.17   91.58  -49.89       1.93  0.00  0.00
   78.56  265.14   49.02       1.81  0.00  0.00
   82.36  268.44   49.57       1.76  0.00  0.00
   86.17  271.69   49.89       1.79  0.00  0.00
   90.00  274.91   50.00       1.97  0.00  0.00
   74.81  268.29   48.24       1.77  0.00  0.00
   78.56  271.68   49.02       1.78  0.00  0.00
   82.36  274.99   49.57       1.85  0.00  0.00
   71.11  271.31   47.21       1.79  0.00  0.00
   74.81  274.83   48.24       1.84  0.00  0.00
   78.56  278.23   49.02       1.91  0.00  0.00
   67.48  274.18   45.90       1.87  0.00  0.00
   71.11  277.86   47.21       1.90  0.00  0.00
   63.94  276.86   44.31       1.96  0.00  0.00
   82.95   81.22  -44.56       1.94  0.00  0.00
   90.00  261.18   45.00       1.94  0.00  0.00
   86.47   84.72  -44.89       1.90  0.00  0.00
   82.95  261.13   44.56       1.97  0.00  0.00
   86.47  264.70   44.89       1.86  0.00  0.00
   90.00  268.24   45.00       1.88  0.00  0.00
   79.45  264.57   44.01       1.90  0.00  0.00
   82.95  268.19   44.56       1.84  0.00  0.00
   86.47  271.75   44.89       1.88  0.00  0.00
   76.00  267.92   43.22       1.84  0.00  0.00
   79.45  271.62   44.01       1.87  0.00  0.00
   82.95  275.25   44.56       1.97  0.00  0.00
   72.61  271.16   42.19       1.85  0.00  0.00
   76.00  274.98   43.22       1.95  0.00  0.00
   69.30  274.26   40.89       1.93  0.00  0.00
   86.79   82.10  -39.89       1.98  0.00  0.00
   86.79  262.25   39.89       1.97  0.00  0.00
   90.00  266.09   40.00       1.94  0.00  0.00
   83.59  266.22   39.57       1.90  0.00  0.00
   86.79  270.08   39.89       1.93  0.00  0.00
   77.30  266.16   38.26       1.96  0.00  0.00
   80.42  270.14   39.03       1.91  0.00  0.00
   74.24  269.91   37.25       1.89  0.00  0.00
   90.00  263.41   35.00       1.99  0.00  0.00
   84.28  263.98   34.59       1.98  0.00  0.00
   87.13  268.10   34.90       1.97  0.00  0.00
   81.46  268.60   34.07       1.96  0.00  0.00
   75.97  268.85   32.40       1.94  0.00  0.00
